method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
equidist,0.4,DW $D$ asc,V,0.8169,0.95,0.95,0.4279,40
equidist,0.4,DW $D$ asc,CV,0.79,0.925,0.875,0.3487,40
equidist,0.4,DW $D$ asc,Vdelta,0.8241,0.925,0.9,0.3949,40
equidist,0.4,DW $D$ asc,Vrel,0.8254,0.925,0.9,0.391,40
equidist,0.4,DW $D$ asc,CVrel,0.7993,0.85,0.85,0.249,40
equidist,0.5,DW $D$ asc,V,0.83,1.0,1.0,0.3936,40
equidist,0.5,DW $D$ asc,CV,0.8032,0.975,0.925,0.3449,40
equidist,0.5,DW $D$ asc,Vdelta,0.8315,0.875,0.875,0.338,40
equidist,0.5,DW $D$ asc,Vrel,0.8332,0.875,0.875,0.335,40
equidist,0.5,DW $D$ asc,CVrel,0.8057,0.825,0.8,0.2674,40
equidist,0.6,DW $D$ asc,V,0.853,1.0,1.0,0.4272,40
equidist,0.6,DW $D$ asc,CV,0.8263,0.975,0.95,0.3537,40
equidist,0.6,DW $D$ asc,Vdelta,0.8567,0.95,0.95,0.3634,40
equidist,0.6,DW $D$ asc,Vrel,0.8581,0.95,0.95,0.3639,40
equidist,0.6,DW $D$ asc,CVrel,0.8328,0.85,0.8,0.2821,40
equidist,0.7,DW $D$ asc,V,0.8554,0.975,0.975,0.4489,40
equidist,0.7,DW $D$ asc,CV,0.8291,0.95,0.925,0.3968,40
equidist,0.7,DW $D$ asc,Vdelta,0.8599,0.9,0.875,0.4055,40
equidist,0.7,DW $D$ asc,Vrel,0.8616,0.9,0.875,0.4026,40
equidist,0.7,DW $D$ asc,CVrel,0.8354,0.825,0.8,0.2958,40
equidist,0.8,DW $D$ asc,V,0.8729,1.0,0.975,0.4661,40
equidist,0.8,DW $D$ asc,CV,0.8466,0.975,0.975,0.3977,40
equidist,0.8,DW $D$ asc,Vdelta,0.8742,0.95,0.925,0.4198,40
equidist,0.8,DW $D$ asc,Vrel,0.875,0.95,0.925,0.4311,40
equidist,0.8,DW $D$ asc,CVrel,0.8495,0.925,0.925,0.3033,40
equidist,0.9,DW $D$ asc,V,0.8746,1.0,0.975,0.4705,40
equidist,0.9,DW $D$ asc,CV,0.8468,0.975,0.95,0.4141,40
equidist,0.9,DW $D$ asc,Vdelta,0.8743,0.925,0.925,0.4042,40
equidist,0.9,DW $D$ asc,Vrel,0.8759,0.925,0.925,0.4038,40
equidist,0.9,DW $D$ asc,CVrel,0.85,0.9,0.9,0.2954,40
equidist,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
equidist,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
equidist,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
equidist,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
equidist,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
smallcv,0.05,DW $D$ asc,V,0.5216,0.45,0.45,0.2269,40
smallcv,0.05,DW $D$ asc,CV,0.4946,0.225,0.175,0.2996,40
smallcv,0.05,DW $D$ asc,Vdelta,0.5165,0.475,0.45,0.3552,40
smallcv,0.05,DW $D$ asc,Vrel,0.5168,0.5,0.45,0.3552,40
smallcv,0.05,DW $D$ asc,CVrel,0.4875,0.175,0.2,0.4925,40
smallcv,0.1,DW $D$ asc,V,0.6189,0.675,0.575,0.3209,40
smallcv,0.1,DW $D$ asc,CV,0.5927,0.375,0.325,0.2749,40
smallcv,0.1,DW $D$ asc,Vdelta,0.607,0.6,0.65,0.3896,40
