cond,Lprime,ns_mean,ns_std,sq_mean,sq_std
DW $u$ asc,15,0.1225,0.32786,0.1275,0.33353
DW $u$ asc,16,0.1275,0.33353,0.1225,0.32786
DW $u$ asc,17,0.1425,0.34956,0.13,0.3363
DW $u$ asc,18,0.14,0.34699,0.11,0.31289
DW $u$ asc,19,0.14,0.34699,0.1125,0.31598
DW $u$ asc,20,0.1475,0.3546,0.1175,0.32202
DW $u$ asc,21,0.1525,0.3595,0.1175,0.32202
DW $u$ asc,22,0.1525,0.3595,0.12,0.32496
DW $u$ asc,23,0.15,0.35707,0.13,0.3363
DW $u$ asc,24,0.1725,0.37781,0.15,0.35707
DW $u$ asc,25,0.175,0.37997,0.1425,0.34956
DW $u$ asc,26,0.18,0.38419,0.15,0.35707
DW $u$ asc,27,0.19,0.3923,0.1625,0.36891
DW $u$ asc,28,0.1925,0.39426,0.1525,0.3595
DW $u$ asc,29,0.1925,0.39426,0.17,0.37563
DW $u$ asc,30,0.2,0.4,0.165,0.37118
DW $u$ asc,31,0.1975,0.39811,0.1675,0.37342
DW $u$ asc,32,0.2,0.4,0.1725,0.37781
DW $u$ asc,33,0.2,0.4,0.1825,0.38626
DW $u$ asc,34,0.2025,0.40186,0.185,0.3883
DW $u$ asc,35,0.1975,0.39811,0.185,0.3883
DW $u$ asc,36,0.2075,0.40552,0.1875,0.39031
DW $u$ asc,37,0.2025,0.40186,0.1875,0.39031
DW $u$ asc,38,0.2025,0.40186,0.1975,0.39811
DW $u$ asc,39,0.2125,0.40908,0.175,0.37997
DW $u$ asc,40,0.22,0.41425,0.1825,0.38626
DW $u$ asc,41,0.2225,0.41593,0.1925,0.39426
DW $u$ asc,42,0.2275,0.41922,0.1925,0.39426
DW $u$ asc,43,0.225,0.41758,0.195,0.3962
DW $u$ asc,44,0.23,0.42083,0.2,0.4
DW $u$ asc,45,0.235,0.424,0.1975,0.39811
DW $u$ asc,46,0.23,0.42083,0.195,0.3962
DW $u$ asc,47,0.23,0.42083,0.19,0.3923
DW $u$ asc,48,0.2275,0.41922,0.2075,0.40552
DW $u$ asc,49,0.2325,0.42243,0.205,0.4037
DW $u$ asc,50,0.2325,0.42243,0.205,0.4037
DW $u$ asc,51,0.25,0.43301,0.2075,0.40552
DW $u$ asc,52,0.2475,0.43156,0.2175,0.41255
DW $u$ asc,53,0.245,0.43009,0.205,0.4037
DW $u$ asc,54,0.25,0.43301,0.21,0.40731
DW $u$ asc,55,0.25,0.43301,0.2025,0.40186
DW $u$ asc,56,0.255,0.43586,0.1975,0.39811
DW $u$ asc,57,0.2525,0.43445,0.2075,0.40552
DW $u$ asc,58,0.2575,0.43726,0.2125,0.40908
DW $u$ asc,59,0.26,0.43863,0.2075,0.40552
DW $u$ asc,60,0.2625,0.43999,0.21,0.40731
DW $u$ asc,61,0.2625,0.43999,0.2125,0.40908
DW $u$ asc,62,0.2625,0.43999,0.21,0.40731
DW $u$ asc,63,0.27,0.44396,0.22,0.41425
DW $u$ asc,64,0.27,0.44396,0.2225,0.41593
DW $u$ asc,65,0.2725,0.44525,0.23,0.42083
DW $u$ asc,66,0.2725,0.44525,0.23,0.42083
